URL,문제제목,정답률,분류정보,태그1,태그2,태그3
https://www.hackerrank.com/challenges/py-hello-world,"Say ""Hello, World!"" With Python",0.974628,Introduction,"변수, 상수, 기초 자료형",,
https://www.hackerrank.com/challenges/py-if-else,Python If-Else,0.912253,Introduction,흐름제어,,
https://www.hackerrank.com/challenges/python-arithmetic-operators,Arithmetic Operators,0.986746,Introduction,연산,,
https://www.hackerrank.com/challenges/python-division,Python: Division,0.987764,Introduction,연산,,
https://www.hackerrank.com/challenges/python-loops,Loops,0.98422,Introduction,흐름제어,,
https://www.hackerrank.com/challenges/write-a-function,Write a function,0.902642,Introduction,흐름제어,,
https://www.hackerrank.com/challenges/python-print,Print Function,0.958743,Introduction,흐름제어,,
https://www.hackerrank.com/challenges/list-comprehensions,List Comprehensions,0.984657,Basic Data Types,고급 자료형,,
https://www.hackerrank.com/challenges/find-second-maximum-number-in-a-list,Find the Runner-Up Score!,0.939112,Basic Data Types,자료구조,,
https://www.hackerrank.com/challenges/nested-list,Nested Lists,0.898807,Basic Data Types,list,,
https://www.hackerrank.com/challenges/finding-the-percentage,Finding the percentage,0.971267,Basic Data Types,dictionary,,
https://www.hackerrank.com/challenges/python-lists,Lists,0.895305,Basic Data Types,list,,
https://www.hackerrank.com/challenges/python-tuples,Tuples,0.981736,Basic Data Types,tuple,,
https://www.hackerrank.com/challenges/swap-case,sWAP cASE,0.985278,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/python-string-split-and-join,String Split and Join,0.987638,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/whats-your-name,What's Your Name?,0.979498,Strings,입출력 기초,,
https://www.hackerrank.com/challenges/python-mutations,Mutations,0.98181,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/find-a-string,Find a string,0.936213,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/string-validators,String Validators,0.938186,Strings,함수 사용,,
https://www.hackerrank.com/challenges/text-alignment,Text Alignment,0.981402,Strings,흐름제어,,
https://www.hackerrank.com/challenges/text-wrap,Text Wrap,0.988032,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/designer-door-mat,Designer Door Mat,0.982432,Strings,기타,,
https://www.hackerrank.com/challenges/python-string-formatting,String Formatting,0.915458,Strings,기타,,
https://www.hackerrank.com/challenges/alphabet-rangoli,Alphabet Rangoli,0.973757,Strings,흐름제어,,
https://www.hackerrank.com/challenges/capitalize,Capitalize!,0.821237,Strings,문자열 이용,,
https://www.hackerrank.com/challenges/the-minion-game,The Minion Game,0.854372,Strings,흐름제어,,
