대분류,중분류,소분류,세부 항목,구분
기초,컴퓨팅적 사고,분석 능력,"자료 수집, 자료 분석, 패턴찾기, 자료 표현",컴퓨팅 사고
,,모델링 능력,"문제 분해(divide&conquer), 추상화, 알고리즘 수립, 자동화",
,,일반화 능력,"적용과 일반화, 병렬화",
초급,1단계,"변수, 상수, 기초 자료형","변수와 상수, 변수 선언",파이썬 언어 문법
,,,문자열 이해하기,
,,,"int, float, byte, str, boolean",
,,입출력 기초,입력(input) 받기,
,,,출력(print)하기,
,,연산,산술연산(사칙연산) 및 기초 연산자,
,,,논리연산(and/or/not),
,,,"관계연산(==,!=)",
,2단계,흐름제어,for 연산,
,,,while 연산: 조건 반복,
,,,"if/elif/else문: 조건 제어, 분기",
,,,"break, continue 등",
,,함수 개념 이해,함수 선언 (들여쓰기 등 기본문법 포함),
,,,매개변수(parameter)/인자/반환(return),
,,Turtle🐢,거북이로 그림그리기,
,3단계,list,"list 선언, 출력, 할당, 삭제(del), 접근, 추가",
,,,"slicing, index, len, range",
,,,2차원 리스트,
,,tuple,tuple 선언과 출력,
,,문자열 이용,"split, format, 소수점표현, join, 메서드체이닝",
중급,1단계,dictionary,"딕셔너리 사용, 선언, 추가, 수정, 출력",파이썬 언어
,,set,"선언, 추가, 삭제, 개수 구하기, 할당, 복사, 출력",
,,함수 사용,지역변수와 광역변수의 이해,
,,,"함수 호출 및 이용, 재귀함수",
,,,중첩함수,
,,,"클로저, 람다 표현",
,,I/O,"사용자 input, print",
,,,파일을 읽고 쓰기,
,2단계,고급 자료형,"제너레이터, 이터레이터",
,,,"리스트 표현식(리스트 컴프리헨션), map",
,,,"딕셔너리 표현식, 중첩 딕셔너리",
,,,set 표현식,
,,모듈과 패키지,import해서 사용하기,
,,,직접 만들기,
,,자료구조,Hashing의 개념과 이해,자료구조
,,,Stack과 Queue의 개념과 이해,
,,,"List: Unordered list, Ordered List, Linked List",
,,,Tree/Heap/Graph의 기초 개념,
,3단계,Searching,Sequential Search,자료구조/ 알고리즘
,,,Binary Search,
,,Sorting,Bubble Sort,
,,,Selection Sort,
,,,Insertion Sort,
,,,Merge Sort,
,,,Quick Sort,
고급,1단계,객체 지향적 사고,클래스와 메서드,OOP
,,,"클래스 속성, 정적 메서드, 클래스 메서드",
,,,클래스 상속,
,,예외 처리,기본 예외 처리,언어
,2단계,정규표현식,정규표현식 문법과 사용,정규표현식
,,기타,"코루틴(coroutine), 데코레이터",언어
,,,"비트연산자, 논리연산자, 내장함수, 메타클래스",
,,,"Anaconda, multi-processing, 동기/비동기",
,,dfs/bfs,샅샅이 찾아보자.., 알고리즘
,,backtracking,미로에 갇혀보자..,
,,greedy algorithm,,
,3단계,동적 프로그래밍,,
,,위상정렬 등,"벨만포드, 다익스트라............이것저것...",
,,웹페이지,크롤링,인생은 실전!
,,빅데이터 돌리기,,
