https://www.acmicpc.net/problem/ + 문제번호 -> URL,,,,,,,
문제번호,문제제목,정답률,분류정보,사용여부,태그1,태그2,태그3
2557,Hello World,47.34%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
1000,A+B,45.25%,입/출력 받아보기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
1001,A-B,72.07%,입/출력 받아보기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
7287,등록,47.84%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
10172,개,37.07%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
10718,We love kriii,78.31%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
11718,그대로 출력하기,25.22%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
11719,그대로 출력하기 2,56.90%,입/출력 받아보기 단계,,입출력 기초,"변수, 상수, 기초 자료형",
10998,A×B,76.80%,사칙연산 도전하기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
1008,A/B,34.01%,사칙연산 도전하기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
10869,사칙연산,58.34%,사칙연산 도전하기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
10430,나머지,61.66%,사칙연산 도전하기 단계,,연산,입출력 기초,"변수, 상수, 기초 자료형"
2558,A+B 2,75.46%,사칙연산 도전하기 단계,,연산,,
2839,설탕 배달,28.85%,사칙연산 도전하기 단계,,흐름제어,연산,
2741,N 찍기,44.98%,for문 사용해보기 단계,,흐름제어,,
2742,기찍 N,64.80%,for문 사용해보기 단계,,흐름제어,,
2739,구구단,55.97%,for문 사용해보기 단계,,흐름제어,,
2438,별 찍기 1,61.57%,for문 사용해보기 단계,,흐름제어,,
2439,별 찍기 2,59.35%,for문 사용해보기 단계,,흐름제어,,
2440,별 찍기 3,66.61%,for문 사용해보기 단계,,흐름제어,,
2441,별 찍기 4,73.35%,for문 사용해보기 단계,,흐름제어,,
1924,2007년,44.14%,for문 사용해보기 단계,,흐름제어,list,
8393,합,73.56%,for문 사용해보기 단계,,흐름제어,,
11720,숫자의 합,46.60%,for문 사용해보기 단계,,흐름제어,,
11721,열 개씩 끊어 출력하기,51.22%,for문 사용해보기 단계,,흐름제어,,
15552,빠른 A+B,50.58%,for문 사용해보기 단계,,흐름제어,,
9498,시험 성적,61.98%,if문 사용해보기 단계,,흐름제어,,
10817,세 수,47.14%,if문 사용해보기 단계,,흐름제어,,
10871,X보다 작은 수,58.17%,if문 사용해보기 단계,,흐름제어,,
1546,평균,47.05%,if문 사용해보기 단계,,흐름제어,,
4344,평균은 넘겠지,38.44%,if문 사용해보기 단계,,흐름제어,,
1110,더하기 사이클,50.20%,if문 사용해보기 단계,,흐름제어,,
